customer_id,age,geography,billing_preference,vulnerability,tenure_months,payment_method,product_broadband,product_tv,product_voice,product_tier,contract_lifecycle,average_monthly_spend,contact_frequency_pre_migration,number_of_complaints,number_of_faults,late_payments,missed_payments,number_of_calls_post_migration,churn_after_migration,change_in_spend,change_in_products
CUST000022,77,Suburban,Large Font,No,126,Direct Debit,0,1,1,Fibre,In Contract,39.58,4,0,4,1,1,1,1,-21.47,0
CUST000023,32,Urban,Standard Paper,Yes,137,Cash,1,1,1,Fibre,In Contract,64.17,2,0,2,0,0,2,0,20.1,1
CUST000024,79,Urban,Standard Paper,No,146,Direct Debit,0,1,1,Copper,Out of Contract,53.24,2,1,1,1,0,5,0,-28.74,0
CUST000025,79,Rural,Paperless,No,59,Direct Debit,1,1,1,Fibre,Out of Contract,43.42,3,3,1,1,1,4,0,26.31,0
CUST000026,64,Urban,Large Font,No,171,Cheque,1,1,1,Fibre,In Contract,16.66,1,1,0,1,1,2,0,-1.77,1
CUST000027,79,Suburban,Paperless,No,80,Card,1,1,1,Fibre,In Contract,67.93,1,0,1,0,0,2,0,7.33,1
CUST000028,68,Urban,Paperless,No,194,Direct Debit,1,1,1,Copper,In Contract,30.83,3,0,1,0,0,3,0,15.22,0
CUST000029,72,Suburban,Standard Paper,No,29,Direct Debit,1,0,1,Fibre,Out of Contract,19.53,2,2,1,2,0,5,0,18.79,-1
CUST000030,81,Suburban,Standard Paper,No,176,Card,1,0,1,Fibre Plus,In Contract,17.75,1,1,3,1,0,3,0,24.37,0
CUST000031,20,Rural,Paperless,No,51,Direct Debit,1,1,0,Copper,In Contract,60.0,3,0,1,2,0,3,0,20.54,0
CUST000032,68,Rural,Paperless,No,170,Direct Debit,1,0,1,Fibre,Out of Contract,66.89,1,0,3,0,1,3,0,1.71,0
CUST000033,24,Suburban,Standard Paper,No,36,Card,1,0,1,Copper,In Contract,14.26,1,2,0,1,0,3,0,-14.31,0
CUST000034,38,Urban,Standard Paper,No,76,Cash,1,0,1,Fibre,Out of Contract,34.43,3,1,0,0,1,2,0,16.9,0
CUST000035,56,Suburban,Paperless,No,105,Direct Debit,0,1,1,Fibre Plus,In Contract,53.62,1,2,3,1,0,3,1,-33.29,-1
CUST000036,35,Suburban,Paperless,No,45,Card,1,1,0,Fibre,In Contract,48.3,2,2,1,0,0,3,0,3.15,1
CUST000037,21,Urban,Large Font,No,101,Direct Debit,1,0,1,Fibre,Out of Contract,34.56,6,3,2,0,0,7,0,-9.68,0
CUST000038,77,Urban,Paperless,No,226,Direct Debit,1,1,1,Copper,Month to Month,42.86,0,1,1,0,1,0,0,-19.54,1
CUST000039,31,Rural,Standard Paper,No,163,Cheque,1,1,1,Fibre,In Contract,71.76,6,1,1,0,1,3,0,-0.04,0
CUST000040,26,Suburban,Standard Paper,Yes,104,Direct Debit,1,0,1,Copper,Out of Contract,55.62,1,0,1,0,0,1,0,38.94,0
CUST000041,70,Urban,Standard Paper,No,6,Direct Debit,1,1,0,Fibre,Month to Month,61.78,2,0,2,1,0,3,1,-22.58,0
CUST000042,19,Rural,Paperless,No,165,Card,1,1,0,Fibre,In Contract,35.93,2,1,2,1,0,4,0,-25.94,-2
CUST000043,77,Urban,Standard Paper,No,36,Direct Debit,1,1,0,Copper,In Contract,23.66,2,1,3,0,0,1,0,-2.02,0
CUST000044,61,Urban,Paperless,No,212,Cheque,1,0,1,Fibre Plus,Month to Month,50.47,2,2,0,0,1,2,0,-7.78,0
CUST000045,25,Suburban,Paperless,No,144,Direct Debit,1,0,1,Copper,Out of Contract,66.7,2,1,1,1,0,4,0,-5.61,0
CUST000046,64,Urban,Paperless,No,200,Direct Debit,1,1,1,Fibre,Month to Month,31.85,4,2,0,1,0,1,1,-1.6,0
CUST000047,52,Suburban,Paperless,No,236,Cheque,1,1,1,Copper,Out of Contract,50.23,4,0,1,0,0,2,0,-39.11,1
CUST000048,53,Urban,Paperless,No,22,Cheque,1,0,0,Fibre,In Contract,44.64,2,0,2,0,0,0,0,4.7,0
CUST000049,67,Urban,Large Font,No,69,Cash,1,0,1,Fibre,In Contract,19.47,2,0,0,1,0,1,0,13.11,0
CUST000050,21,Urban,Large Font,No,69,Cash,0,1,1,Fibre,Out of Contract,41.31,1,1,2,0,1,3,0,24.76,0
CUST000051,19,Rural,Standard Paper,No,63,Direct Debit,0,0,0,Fibre,Out of Contract,48.77,2,0,1,1,0,2,1,-20.37,0
CUST000052,23,Urban,Large Font,No,237,Direct Debit,1,1,1,Fibre,Out of Contract,35.43,5,1,0,0,0,2,0,11.44,0
CUST000053,71,Urban,Large Font,No,75,Direct Debit,1,1,0,Fibre,Out of Contract,77.19,2,2,0,0,0,5,0,-2.59,0
CUST000054,21,Urban,Paperless,No,107,Direct Debit,0,0,1,Fibre,In Contract,23.97,1,1,1,0,0,2,0,-6.59,0
CUST000055,71,Urban,Standard Paper,Yes,19,Direct Debit,1,0,1,Fibre,In Contract,131.05,0,1,2,1,0,2,0,25.82,1
CUST000056,80,Urban,Paperless,No,231,Direct Debit,1,1,0,Fibre,In Contract,44.62,1,0,0,1,0,0,0,-8.38,0
CUST000057,35,Urban,Paperless,No,209,Cheque,1,1,1,Fibre,In Contract,40.61,3,0,2,0,0,2,0,5.28,0
CUST000058,61,Suburban,Standard Paper,No,229,Direct Debit,0,1,1,Copper,Out of Contract,70.64,2,2,2,1,0,7,1,-45.46,0
CUST000059,51,Suburban,Paperless,No,102,Card,1,1,1,Fibre Plus,In Contract,21.16,0,0,0,2,0,2,0,9.16,0
CUST000060,79,Suburban,Paperless,No,126,Direct Debit,1,0,0,Copper,In Contract,139.56,3,0,0,0,0,1,0,-16.69,0
CUST000061,31,Suburban,Standard Paper,No,127,Direct Debit,1,1,0,Copper,Out of Contract,31.78,4,0,3,0,1,3,0,24.34,0
CUST000062,65,Urban,Paperless,No,146,Cheque,1,1,1,Copper,Out of Contract,69.65,6,3,1,1,0,4,0,7.68,0
CUST000063,32,Urban,Standard Paper,No,114,Direct Debit,1,0,1,Fibre,In Contract,44.75,2,1,0,1,1,1,0,32.49,0
CUST000064,79,Suburban,Paperless,No,73,Direct Debit,1,0,1,Fibre,Out of Contract,26.87,4,1,1,0,0,4,1,-33.95,0
CUST000065,57,Suburban,Paperless,No,114,Direct Debit,1,1,1,Copper,Out of Contract,74.38,3,1,3,0,0,5,0,2.17,1
CUST000066,70,Urban,Paperless,Yes,145,Direct Debit,1,1,0,Fibre,In Contract,58.24,3,3,1,1,0,5,1,-28.46,0
CUST000067,41,Rural,Standard Paper,No,41,Cash,1,1,1,Copper,In Contract,205.46,5,0,1,0,1,3,0,24.33,2
CUST000068,43,Urban,Paperless,No,161,Cash,0,0,0,Fibre,Month to Month,54.25,1,0,1,0,0,1,0,-0.11,0
CUST000069,77,Urban,Paperless,No,212,Direct Debit,1,0,0,Fibre,Out of Contract,32.56,1,2,1,0,0,2,0,-0.71,0
CUST000070,58,Urban,Paperless,No,183,Direct Debit,1,1,1,Copper,In Contract,17.68,1,1,2,0,2,1,0,24.75,0
CUST000071,46,Rural,Paperless,No,82,Direct Debit,0,1,0,Copper,Out of Contract,30.82,3,1,1,0,0,2,0,13.17,0
CUST000072,32,Suburban,Standard Paper,No,152,Direct Debit,0,1,1,Copper,Out of Contract,50.81,5,0,1,1,0,3,0,23.99,0
CUST000073,62,Suburban,Standard Paper,No,77,Direct Debit,1,1,1,Fibre,In Contract,37.08,0,0,0,1,0,4,0,8.17,-1
CUST000074,82,Urban,Paperless,No,168,Direct Debit,1,0,1,Copper,Month to Month,65.47,2,0,1,1,0,2,1,7.39,0
CUST000075,26,Suburban,Paperless,No,28,Direct Debit,1,1,0,Fibre,Out of Contract,53.58,0,0,2,0,0,2,0,-7.45,0
CUST000076,18,Urban,Paperless,No,110,Direct Debit,1,0,1,Fibre,In Contract,23.96,3,0,1,0,0,2,0,24.31,0
CUST000077,25,Rural,Paperless,No,195,Direct Debit,1,0,1,Copper,Month to Month,36.43,1,0,0,1,0,0,0,15.22,0
CUST000078,80,Urban,Standard Paper,No,228,Direct Debit,1,0,0,Copper,In Contract,29.0,2,0,0,2,0,1,0,9.1,1
CUST000079,28,Urban,Paperless,No,203,Cash,0,1,1,Fibre,Out of Contract,53.11,4,1,1,1,0,1,0,16.32,0
CUST000080,25,Urban,Paperless,No,167,Card,1,0,1,Fibre,Out of Contract,55.46,3,1,1,0,0,1,0,17.9,0
CUST000081,52,Rural,Large Font,No,21,Direct Debit,1,0,1,Fibre Plus,Out of Contract,33.09,2,0,1,1,0,4,0,41.71,0
CUST000082,52,Suburban,Paperless,No,165,Direct Debit,0,0,1,Fibre,Out of Contract,19.69,1,0,1,0,0,1,0,-4.37,0
CUST000083,50,Urban,Paperless,No,130,Direct Debit,0,0,0,Fibre Plus,In Contract,182.38,0,0,0,0,0,4,0,23.71,0
CUST000084,22,Urban,Standard Paper,No,6,Direct Debit,1,0,1,Copper,In Contract,52.52,1,0,0,0,0,2,0,-7.51,0
CUST000085,58,Rural,Paperless,No,52,Direct Debit,1,0,1,Copper,Out of Contract,52.46,0,2,1,1,0,2,0,12.91,0
CUST000086,45,Rural,Paperless,No,5,Direct Debit,0,0,1,Fibre,Month to Month,17.51,4,1,0,2,0,2,1,-45.92,0
CUST000087,24,Suburban,Paperless,No,175,Direct Debit,1,0,1,Fibre,In Contract,64.2,3,0,3,0,2,3,0,18.25,-2
CUST000088,29,Urban,Standard Paper,No,43,Direct Debit,1,1,1,Copper,In Contract,76.08,2,1,3,0,0,4,0,18.34,0
CUST000089,51,Urban,Paperless,No,96,Cheque,1,1,0,Copper,In Contract,52.94,9,2,1,0,0,4,0,-0.7,0
CUST000090,50,Rural,Paperless,No,101,Direct Debit,1,0,1,Copper,Out of Contract,47.8,1,0,1,1,0,1,0,16.17,0
CUST000091,65,Urban,Paperless,No,114,Direct Debit,0,1,1,Fibre,In Contract,47.85,4,0,1,1,0,2,1,-14.67,0
CUST000092,40,Urban,Paperless,No,40,Cheque,0,1,1,Fibre,In Contract,28.67,3,0,1,2,0,4,0,-27.63,1
CUST000093,79,Suburban,Standard Paper,No,139,Direct Debit,1,1,0,Fibre,In Contract,31.55,2,1,1,0,2,1,0,-3.1,0
CUST000094,54,Rural,Paperless,No,209,Cheque,1,1,0,Fibre Plus,Out of Contract,39.84,3,0,1,0,0,2,0,-14.75,-1
CUST000095,61,Urban,Paperless,No,142,Card,1,1,1,Fibre,Out of Contract,77.46,4,1,0,0,0,5,0,-7.29,0
CUST000096,52,Suburban,Paperless,No,2,Cash,0,1,1,Copper,Month to Month,51.1,4,0,1,0,0,3,0,20.58,2
CUST000097,82,Rural,Paperless,No,167,Direct Debit,1,1,0,Fibre Plus,In Contract,30.85,4,0,1,0,0,3,1,-20.54,0
CUST000098,64,Urban,Paperless,No,191,Direct Debit,0,0,0,Fibre,Out of Contract,32.35,5,0,2,0,2,4,0,-29.33,0
CUST000099,20,Urban,Standard Paper,No,63,Direct Debit,1,1,1,Fibre,Out of Contract,15.16,4,0,2,1,2,5,0,-3.05,-1
CUST000100,18,Rural,Paperless,No,119,Card,1,1,0,Copper,Month to Month,55.98,5,0,1,0,0,4,0,-5.98,0
CUST000101,22,Rural,Standard Paper,Yes,146,Card,1,1,1,Copper,Month to Month,40.25,3,1,0,1,0,4,0,5.69,1
CUST000102,31,Rural,Paperless,No,225,Direct Debit,1,0,1,Fibre Plus,Out of Contract,49.08,1,0,2,0,1,2,0,-22.75,0
CUST000103,44,Suburban,Standard Paper,No,94,Card,1,1,1,Fibre,In Contract,203.47,3,3,0,2,1,1,0,14.32,0
CUST000104,26,Urban,Paperless,No,79,Direct Debit,1,0,1,Fibre,Month to Month,35.74,2,0,1,0,0,6,0,5.98,-1
CUST000105,32,Rural,Paperless,No,221,Direct Debit,1,0,1,Fibre,In Contract,49.76,6,0,1,1,0,1,0,4.16,0
CUST000106,59,Urban,Paperless,No,218,Direct Debit,1,1,1,Fibre Plus,Out of Contract,32.6,2,1,1,0,0,6,0,-3.0,0
CUST000107,68,Rural,Paperless,No,129,Direct Debit,1,1,1,Copper,In Contract,41.12,4,0,0,0,0,7,0,12.42,0
CUST000108,80,Rural,Paperless,Yes,145,Cash,1,0,0,Fibre Plus,Out of Contract,27.47,4,0,2,0,0,4,0,-0.79,0
CUST000109,69,Suburban,Standard Paper,No,54,Direct Debit,0,1,0,Copper,Out of Contract,25.81,4,0,4,0,0,3,0,-2.43,0
CUST000110,21,Rural,Standard Paper,No,122,Cash,0,0,1,Fibre,In Contract,18.13,0,0,3,1,0,3,0,-0.85,1
CUST000111,40,Suburban,Paperless,No,124,Card,1,1,1,Fibre Plus,In Contract,26.01,4,0,1,1,1,5,0,13.39,0
CUST000112,32,Urban,Paperless,No,167,Cash,1,0,1,Fibre,Out of Contract,50.23,3,0,1,0,0,0,0,18.65,0
CUST000113,60,Suburban,Large Font,Yes,176,Direct Debit,1,1,1,Fibre,Out of Contract,38.22,2,0,1,2,0,1,1,8.02,0
CUST000114,46,Urban,Standard Paper,No,66,Cheque,1,0,1,Fibre,Out of Contract,40.05,4,0,1,0,0,1,0,19.47,0
CUST000115,53,Suburban,Paperless,No,143,Direct Debit,1,0,1,Fibre,In Contract,35.69,1,0,2,1,0,2,1,0.85,0
CUST000116,30,Urban,Paperless,No,22,Cheque,1,0,0,Copper,Out of Contract,48.28,3,2,1,0,0,5,1,-42.01,0
CUST000117,49,Urban,Standard Paper,Yes,20,Direct Debit,1,1,1,Copper,Month to Month,46.82,1,0,1,0,0,0,0,-11.64,0
CUST000118,76,Rural,Paperless,No,93,Direct Debit,1,1,1,Fibre Plus,Month to Month,45.4,1,1,1,1,0,2,0,-5.05,0
CUST000119,45,Rural,Standard Paper,No,217,Cheque,1,1,0,Fibre,In Contract,37.98,1,0,2,0,1,3,0,-0.1,0
CUST000120,83,Urban,Paperless,No,171,Cheque,1,1,1,Fibre,Month to Month,64.38,2,0,2,1,0,5,0,-4.83,0
CUST000121,59,Suburban,Standard Paper,No,184,Card,1,1,0,Fibre,Out of Contract,16.39,0,1,2,0,0,2,0,-20.18,-1
CUST000122,62,Suburban,Paperless,No,152,Direct Debit,1,0,0,Fibre,Out of Contract,30.51,2,1,0,0,0,1,0,0.26,0
CUST000123,79,Rural,Paperless,Yes,226,Direct Debit,1,1,0,Fibre,In Contract,29.99,2,0,0,1,0,0,1,2.03,0
CUST000124,74,Suburban,Standard Paper,No,43,Direct Debit,1,1,1,Copper,Out of Contract,61.74,0,0,1,1,2,1,0,23.92,0
CUST000125,23,Suburban,Paperless,No,21,Direct Debit,1,1,1,Fibre,In Contract,34.14,0,0,0,0,0,0,0,36.27,-1
CUST000126,45,Rural,Paperless,Yes,48,Direct Debit,1,1,1,Fibre Plus,Out of Contract,27.48,4,1,5,0,0,2,0,-2.92,0
CUST000127,45,Urban,Paperless,No,66,Direct Debit,1,1,0,Fibre Plus,Out of Contract,48.74,1,1,1,2,0,3,0,-22.33,0
CUST000128,61,Rural,Large Font,Yes,115,Cash,1,1,1,Fibre Plus,Out of Contract,66.69,2,1,1,0,0,5,0,-16.85,0
CUST000129,47,Rural,Standard Paper,No,16,Card,0,0,1,Fibre,In Contract,64.69,3,0,1,3,0,4,0,7.4,-1
CUST000130,79,Rural,Paperless,No,168,Direct Debit,0,0,0,Fibre Plus,In Contract,71.13,1,1,2,1,0,2,0,0.86,0
CUST000131,79,Urban,Standard Paper,No,21,Direct Debit,1,1,1,Fibre,Out of Contract,47.44,5,1,2,0,0,4,0,-30.69,0
CUST000132,18,Urban,Paperless,No,180,Direct Debit,1,1,1,Copper,Out of Contract,51.44,1,0,1,1,0,1,0,15.87,0
CUST000133,44,Rural,Paperless,No,101,Direct Debit,0,1,1,Fibre,In Contract,39.26,2,2,3,1,0,3,0,23.61,1
CUST000134,79,Urban,Standard Paper,No,8,Cheque,1,1,1,Fibre Plus,In Contract,37.97,1,2,1,2,0,3,0,-12.53,0
CUST000135,20,Suburban,Paperless,No,206,Direct Debit,1,0,0,Fibre,Out of Contract,27.47,4,0,1,1,0,3,0,-8.57,0
CUST000136,44,Urban,Standard Paper,No,110,Direct Debit,1,1,1,Fibre,Out of Contract,63.22,4,2,0,0,0,3,0,2.63,0
CUST000137,26,Urban,Paperless,Yes,183,Direct Debit,1,0,1,Copper,Month to Month,18.2,1,2,2,2,0,4,0,-19.96,0
CUST000138,79,Urban,Paperless,Yes,86,Card,1,1,1,Fibre,Out of Contract,23.25,2,2,1,0,0,4,0,-0.85,-1
CUST000139,54,Suburban,Paperless,No,210,Card,1,1,1,Fibre Plus,Month to Month,113.7,3,1,0,1,0,3,0,-10.03,0
CUST000140,68,Urban,Large Font,No,58,Card,1,1,1,Copper,In Contract,42.19,3,2,2,0,0,6,1,-11.73,1
CUST000141,61,Suburban,Paperless,No,5,Direct Debit,1,1,1,Fibre,Month to Month,47.94,6,1,1,0,1,2,1,-13.05,0
CUST000142,41,Suburban,Paperless,No,170,Direct Debit,1,0,0,Copper,Out of Contract,24.38,2,1,0,0,0,2,1,-17.21,0
CUST000143,76,Suburban,Paperless,Yes,111,Direct Debit,1,1,1,Fibre Plus,Out of Contract,56.98,2,0,1,0,1,1,0,24.65,0
CUST000144,49,Suburban,Large Font,No,109,Direct Debit,1,0,1,Fibre,In Contract,88.87,7,1,1,0,0,3,0,-0.06,0
CUST000145,69,Urban,Paperless,No,30,Direct Debit,0,1,0,Copper,In Contract,92.33,2,0,0,1,1,1,0,21.37,0
CUST000146,79,Urban,Paperless,No,95,Cheque,0,0,1,Copper,Out of Contract,20.94,4,0,3,0,0,2,0,-4.26,0
CUST000147,75,Urban,Large Font,No,9,Direct Debit,1,0,1,Fibre Plus,Month to Month,80.18,3,0,2,1,1,3,0,18.37,0
CUST000148,69,Suburban,Large Font,No,95,Direct Debit,0,0,0,Fibre,In Contract,44.93,2,3,0,1,1,2,0,-18.87,0
CUST000149,29,Suburban,Paperless,No,95,Cash,1,1,1,Fibre,In Contract,12.64,5,1,0,1,1,3,0,-5.82,0
CUST000150,56,Suburban,Paperless,No,41,Direct Debit,1,1,0,Copper,Month to Month,20.7,2,0,0,0,0,3,0,13.35,0
CUST000151,19,Urban,Large Font,No,51,Direct Debit,1,1,1,Copper,In Contract,17.45,5,1,0,0,1,5,0,-8.34,2
CUST000152,20,Suburban,Paperless,No,185,Direct Debit,1,1,1,Fibre,Out of Contract,60.4,2,0,1,1,1,5,0,3.47,0
CUST000153,73,Urban,Standard Paper,No,201,Card,1,1,1,Fibre,Out of Contract,40.72,3,1,0,0,0,1,0,11.19,0
CUST000154,76,Rural,Paperless,Yes,229,Direct Debit,1,0,1,Fibre Plus,Out of Contract,32.28,1,0,1,0,0,2,0,7.45,0
CUST000155,19,Urban,Paperless,No,61,Direct Debit,1,0,1,Fibre,In Contract,42.63,3,1,3,0,0,4,0,11.82,0
CUST000156,19,Rural,Standard Paper,No,6,Card,1,0,0,Fibre,Out of Contract,107.57,4,0,0,1,0,1,0,-15.86,0
CUST000157,71,Suburban,Large Font,No,119,Direct Debit,0,0,1,Fibre,In Contract,38.58,5,1,1,2,2,3,1,-28.44,-1
CUST000158,18,Urban,Paperless,No,234,Card,1,0,0,Fibre,In Contract,52.69,5,2,2,0,0,4,0,15.54,-1
CUST000159,36,Urban,Standard Paper,No,26,Direct Debit,1,1,1,Copper,In Contract,61.26,5,2,0,0,0,3,0,22.45,0
CUST000160,19,Urban,Paperless,No,202,Direct Debit,1,1,0,Fibre Plus,Out of Contract,24.36,2,3,1,0,0,4,0,12.31,-1
CUST000161,70,Urban,Standard Paper,No,6,Direct Debit,1,1,1,Fibre,In Contract,59.28,2,2,1,1,0,3,0,-0.87,1
CUST000162,61,Urban,Standard Paper,No,53,Direct Debit,1,1,1,Copper,In Contract,70.8,5,0,0,2,0,4,0,10.96,0
CUST000163,49,Suburban,Paperless,No,61,Direct Debit,1,0,1,Fibre Plus,In Contract,73.7,2,1,1,0,0,3,0,-8.62,0
CUST000164,49,Urban,Standard Paper,No,161,Direct Debit,0,0,1,Fibre Plus,In Contract,41.55,4,2,0,3,0,6,1,-19.51,0
CUST000165,72,Suburban,Standard Paper,No,173,Direct Debit,1,0,0,Fibre Plus,Out of Contract,71.41,3,2,1,0,0,3,1,-41.3,0
CUST000166,73,Urban,Paperless,No,94,Direct Debit,1,1,1,Fibre Plus,In Contract,57.14,4,1,1,0,0,6,0,2.37,0
CUST000167,34,Rural,Standard Paper,No,40,Direct Debit,1,1,1,Copper,Out of Contract,46.24,1,0,3,1,0,4,0,22.3,0
CUST000168,55,Suburban,Large Font,No,24,Cash,1,0,0,Fibre Plus,Month to Month,70.66,4,1,2,0,0,7,1,-43.75,0
CUST000169,41,Urban,Paperless,No,92,Direct Debit,0,0,1,Fibre,Out of Contract,106.93,3,1,2,1,0,3,0,-2.61,-1
CUST000170,28,Urban,Paperless,Yes,45,Direct Debit,1,1,1,Fibre,Out of Contract,70.93,5,0,0,0,1,2,0,3.39,0
CUST000171,33,Urban,Large Font,No,38,Direct Debit,0,1,1,Fibre Plus,Out of Contract,43.07,3,0,0,2,0,2,0,-17.63,1
CUST000172,76,Urban,Paperless,Yes,157,Direct Debit,1,0,0,Fibre,In Contract,35.02,4,0,0,0,0,1,0,-3.3,0
CUST000173,20,Suburban,Paperless,No,108,Card,1,0,1,Fibre Plus,In Contract,58.18,3,1,0,1,0,2,0,-26.15,0
CUST000174,37,Suburban,Paperless,No,207,Cash,1,1,1,Fibre,Out of Contract,48.29,1,2,1,1,1,1,0,-13.33,1
CUST000175,76,Rural,Paperless,No,136,Cash,1,1,0,Fibre,In Contract,78.36,1,0,0,0,1,2,0,-11.72,0
CUST000176,53,Suburban,Paperless,No,64,Direct Debit,1,1,0,Fibre,In Contract,27.79,0,1,1,0,0,6,0,29.2,0
CUST000177,36,Rural,Paperless,No,87,Direct Debit,1,0,1,Fibre,In Contract,75.08,2,0,2,0,1,3,0,45.9,0
CUST000178,84,Rural,Paperless,No,107,Direct Debit,1,1,0,Fibre,Out of Contract,22.25,4,1,1,0,0,4,0,-4.37,0
CUST000179,36,Rural,Standard Paper,No,201,Direct Debit,1,0,1,Fibre Plus,Out of Contract,40.95,1,2,0,0,0,5,0,2.13,0
CUST000180,37,Suburban,Paperless,No,51,Cash,1,1,0,Copper,Out of Contract,59.84,3,0,2,0,0,1,0,10.71,0
CUST000181,69,Urban,Paperless,No,203,Card,1,0,0,Fibre Plus,In Contract,42.26,6,0,1,0,1,4,0,-2.88,0
CUST000182,50,Urban,Paperless,No,6,Direct Debit,1,0,0,Fibre,Out of Contract,55.67,4,1,2,1,0,3,0,-19.63,0
CUST000183,57,Suburban,Paperless,No,175,Direct Debit,1,1,1,Fibre Plus,In Contract,89.37,1,1,1,1,0,1,0,13.59,0
CUST000184,56,Urban,Paperless,No,177,Direct Debit,1,1,0,Fibre,In Contract,33.66,3,1,0,0,0,4,0,12.52,0
CUST000185,18,Urban,Standard Paper,No,204,Cheque,1,1,1,Fibre,Out of Contract,22.15,3,2,0,2,1,2,0,-6.0,-1
CUST000186,28,Suburban,Standard Paper,No,226,Direct Debit,1,1,1,Fibre,Out of Contract,25.34,6,0,2,1,0,2,0,3.82,0
CUST000187,74,Urban,Paperless,No,85,Direct Debit,0,0,0,Fibre,Out of Contract,42.76,5,0,1,0,1,3,0,-5.51,-2
CUST000188,67,Suburban,Paperless,No,160,Card,1,1,1,Fibre,In Contract,83.34,3,0,2,0,1,1,0,16.64,1
CUST000189,40,Urban,Paperless,No,182,Cheque,1,0,0,Fibre Plus,In Contract,38.21,1,1,1,1,0,1,0,1.79,0
CUST000190,48,Suburban,Paperless,No,36,Direct Debit,1,1,1,Fibre Plus,In Contract,131.36,2,4,2,0,0,3,0,0.37,0
CUST000191,59,Suburban,Paperless,No,89,Direct Debit,1,1,0,Fibre,In Contract,23.67,2,1,2,0,1,3,0,11.92,0
CUST000192,24,Urban,Paperless,No,99,Cheque,1,1,1,Fibre,Out of Contract,18.65,2,0,2,0,0,0,0,3.13,0
CUST000193,33,Suburban,Paperless,No,226,Direct Debit,0,0,0,Fibre,In Contract,50.26,3,0,0,0,1,0,0,-12.28,0
CUST000194,77,Suburban,Paperless,No,147,Cheque,1,0,0,Copper,Month to Month,33.67,5,1,0,0,0,3,0,3.01,0
CUST000195,19,Urban,Standard Paper,Yes,37,Direct Debit,1,0,1,Fibre,In Contract,30.68,5,0,3,0,0,5,0,31.18,0
CUST000196,18,Urban,Paperless,No,17,Cash,1,0,0,Fibre Plus,In Contract,45.18,3,0,1,2,0,1,0,24.01,0
